,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
46,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Godiva Chocolatier,43.7259875,-79.4542377,Chocolate Shop
47,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,lululemon,43.7256858,-79.4502545,Clothing Store
48,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,DAVIDsTEA,43.72416755096063,-79.4539350271225,Tea Room
49,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Zara,43.72581378585372,-79.45098261172777,Clothing Store
50,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Dine On 3,43.725890608726935,-79.452287937104,Food Court
51,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,All Saints,43.72437763616194,-79.45364623619574,Clothing Store
52,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Jimmy The Greek,43.726137741274506,-79.45210637051972,Greek Restaurant
53,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Villa Madina,43.724684,-79.454172,Mediterranean Restaurant
54,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Ladurée,43.724685,-79.454151,Dessert Shop
55,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Tory Burch,43.7251379,-79.452086,Women's Store
56,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Indigo,43.727006161344995,-79.45188256634867,Bookstore
57,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Anthropologie,43.72445560536634,-79.45278705108937,Women's Store
58,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Levi's,43.72518987998329,-79.45326085451003,Clothing Store
59,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Starbucks,43.725278,-79.449666,Coffee Shop
60,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,American Eagle Store,43.72537139168907,-79.45211295700837,Clothing Store
61,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Yogen Früz,43.72698291346063,-79.4516734445689,Frozen Yogurt Shop
62,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,H&M,43.7263812,-79.45107999999999,Clothing Store
63,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Restoration Hardware,43.724805,-79.455377,Furniture / Home Store
64,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Hudson's Bay,43.72618961354078,-79.45533454666722,Department Store
65,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Shoppers Drug Mart,43.724775,-79.45538,Pharmacy
66,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Papyrus,43.7257252,-79.45258805,Gift Shop
67,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,New York Fries - Yorkdale Shopping Centre,43.72441808783238,-79.4541137073686,Restaurant
68,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Yorkdale Food Court,43.72593970794716,-79.45222775066644,Food Court
69,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Popeyes Louisiana Kitchen,43.72247710118178,-79.45647214024791,Fried Chicken Joint
70,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Yuki Japanese Restaurant,43.72060971477955,-79.45611946822187,Sushi Restaurant
71,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,The Cheesecake Factory,43.72629712488562,-79.45426225662231,American Restaurant
72,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Harry Rosen,43.72519597305966,-79.45399822742344,Men's Store
73,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Cineplex Cinemas,43.72699993064192,-79.4512895821115,Movie Theater
